#Organism/Name	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Chromosomes/RefSeq	Chromosomes/INSDC	Plasmids/RefSeq	Plasmids/INSDC	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center
Escherichia coli DEC4C	PRJNA50939	50939	Proteobacteria	Gammaproteobacteria	5.53417	50.5	-	-	-	-	AIFM01	-	5919	5772	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC4D	PRJNA50941	50941	Proteobacteria	Gammaproteobacteria	5.38801	50.4	-	-	-	-	AIFN01	-	5676	5539	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC4E	PRJNA50943	50943	Proteobacteria	Gammaproteobacteria	5.41076	50.4	-	-	-	-	AIFO01	-	5683	5553	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC4F	PRJNA50945	50945	Proteobacteria	Gammaproteobacteria	5.40411	50.3	-	-	-	-	AIFP01	-	5727	5581	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC5A	PRJNA50947	50947	Proteobacteria	Gammaproteobacteria	5.37156	50.4	-	-	-	-	AIFQ01	-	5425	5311	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC5B	PRJNA50949	50949	Proteobacteria	Gammaproteobacteria	5.48314	50.4	-	-	-	-	AIFR01	-	5700	5566	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC5C	PRJNA50951	50951	Proteobacteria	Gammaproteobacteria	5.32558	50.4	-	-	-	-	AIFS01	-	5480	5375	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC5D	PRJNA50953	50953	Proteobacteria	Gammaproteobacteria	5.23196	50.4	-	-	-	-	AIFT01	-	5320	5204	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC5E	PRJNA50955	50955	Proteobacteria	Gammaproteobacteria	5.68076	50.5	-	-	-	-	AIFU01	-	5936	5799	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC6A	PRJNA50957	50957	Proteobacteria	Gammaproteobacteria	5.3897	50.6	-	-	-	-	AIFV01	-	5679	5553	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC6B	PRJNA50959	50959	Proteobacteria	Gammaproteobacteria	5.3237	50.8	-	-	-	-	AIFW01	-	5661	5534	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC6C	PRJNA50961	50961	Proteobacteria	Gammaproteobacteria	5.11768	50.6	-	-	-	-	AIFX01	-	5503	5373	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC6D	PRJNA50963	50963	Proteobacteria	Gammaproteobacteria	4.98166	50.6	-	-	-	-	AIFY01	-	5312	5185	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC6E	PRJNA50965	50965	Proteobacteria	Gammaproteobacteria	5.07681	50.6	-	-	-	-	AIFZ01	-	5323	5185	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC7A	PRJNA50967	50967	Proteobacteria	Gammaproteobacteria	5.24812	50.7	-	-	-	-	AIGA01	-	5399	5267	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC7B	PRJNA50969	50969	Proteobacteria	Gammaproteobacteria	5.24082	50.5	-	-	-	-	AIGB01	-	5414	5287	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC7C	PRJNA50973	50973	Proteobacteria	Gammaproteobacteria	5.30814	50.7	-	-	-	-	AIGC01	-	5436	5296	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC7D	PRJNA50975	50975	Proteobacteria	Gammaproteobacteria	5.36143	50.6	-	-	-	-	AIGD01	-	5517	5397	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC7E	PRJNA50977	50977	Proteobacteria	Gammaproteobacteria	5.13898	50.6	-	-	-	-	AIGE01	-	5232	5113	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC8A	PRJNA50979	50979	Proteobacteria	Gammaproteobacteria	5.65485	50.2	-	-	-	-	AIGF01	-	6141	5994	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC8B	PRJNA50981	50981	Proteobacteria	Gammaproteobacteria	5.37105	50.6	-	-	-	-	AIGG01	-	5759	5610	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC8C	PRJNA50983	50983	Proteobacteria	Gammaproteobacteria	5.91075	50.4	-	-	-	-	AIGH01	-	6505	6357	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC8D	PRJNA50985	50985	Proteobacteria	Gammaproteobacteria	5.46041	50.6	-	-	-	-	AIGI01	-	5763	5630	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC8E	PRJNA50987	50987	Proteobacteria	Gammaproteobacteria	5.31835	50.4	-	-	-	-	AIGJ01	-	5711	5574	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC9A	PRJNA50989	50989	Proteobacteria	Gammaproteobacteria	5.40845	50.6	-	-	-	-	AIGK01	-	5735	5583	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC9B	PRJNA50991	50991	Proteobacteria	Gammaproteobacteria	5.3616	50.7	-	-	-	-	AIGL01	-	5616	5480	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC9C	PRJNA50993	50993	Proteobacteria	Gammaproteobacteria	5.19472	50.7	-	-	-	-	AIGM01	-	5369	5240	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC9D	PRJNA50995	50995	Proteobacteria	Gammaproteobacteria	5.48562	50.7	-	-	-	-	AIGN01	-	5750	5611	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC9E	PRJNA50997	50997	Proteobacteria	Gammaproteobacteria	5.43077	50.7	-	-	-	-	AIGO01	-	5768	5640	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC10A	PRJNA50999	50999	Proteobacteria	Gammaproteobacteria	5.36817	50.6	-	-	-	-	AIGP01	-	5838	5706	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC10B	PRJNA51001	51001	Proteobacteria	Gammaproteobacteria	5.57845	50.4	-	-	-	-	AIGQ01	-	6104	5967	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC10C	PRJNA51003	51003	Proteobacteria	Gammaproteobacteria	5.5311	50.6	-	-	-	-	AIGR01	-	6026	5888	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC10D	PRJNA51005	51005	Proteobacteria	Gammaproteobacteria	5.40407	50.6	-	-	-	-	AIGS01	-	5878	5736	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC10E	PRJNA51007	51007	Proteobacteria	Gammaproteobacteria	5.16986	50.7	-	-	-	-	AIGT01	-	5361	5223	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC10F	PRJNA51009	51009	Proteobacteria	Gammaproteobacteria	5.76431	50.4	-	-	-	-	AIGU01	-	6202	6076	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC11A	PRJNA51011	51011	Proteobacteria	Gammaproteobacteria	5.21587	50.6	-	-	-	-	AIGV01	-	5365	5249	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC11B	PRJNA51013	51013	Proteobacteria	Gammaproteobacteria	5.23087	50.7	-	-	-	-	AIGW01	-	5390	5269	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC11C	PRJNA51015	51015	Proteobacteria	Gammaproteobacteria	5.55148	50.6	-	-	-	-	AIGX01	-	5998	5853	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC11D	PRJNA51017	51017	Proteobacteria	Gammaproteobacteria	5.30488	50.6	-	-	-	-	AIGY01	-	5498	5358	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC11E	PRJNA51019	51019	Proteobacteria	Gammaproteobacteria	5.12545	50.6	-	-	-	-	AIGZ01	-	5294	5174	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC12A	PRJNA51021	51021	Proteobacteria	Gammaproteobacteria	5.36155	50.5	-	-	-	-	AIHA01	-	5769	5627	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC12B	PRJNA51023	51023	Proteobacteria	Gammaproteobacteria	5.48899	50.6	-	-	-	-	AIHB01	-	5920	5780	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC12C	PRJNA51025	51025	Proteobacteria	Gammaproteobacteria	5.44751	50.5	-	-	-	-	AIHC01	-	5922	5788	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC12D	PRJNA51027	51027	Proteobacteria	Gammaproteobacteria	5.40398	50.5	-	-	-	-	AIHD01	-	5775	5641	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC12E	PRJNA51029	51029	Proteobacteria	Gammaproteobacteria	5.29697	50.6	-	-	-	-	AIHE01	-	5556	5427	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC13A	PRJNA51031	51031	Proteobacteria	Gammaproteobacteria	4.6887	50.8	-	-	-	-	AIHF01	-	4758	4633	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC13B	PRJNA51033	51033	Proteobacteria	Gammaproteobacteria	4.70994	50.7	-	-	-	-	AIHG01	-	4801	4664	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC13C	PRJNA51035	51035	Proteobacteria	Gammaproteobacteria	5.29497	50.7	-	-	-	-	AIHH01	-	5522	5385	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC13D	PRJNA51037	51037	Proteobacteria	Gammaproteobacteria	5.00983	50.8	-	-	-	-	AIHI01	-	5123	4988	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC13E	PRJNA51039	51039	Proteobacteria	Gammaproteobacteria	4.97969	50.6	-	-	-	-	AIHJ01	-	5049	4927	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC14A	PRJNA51043	51043	Proteobacteria	Gammaproteobacteria	4.95118	50.6	-	-	-	-	AIHK01	-	5022	4909	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC14B	PRJNA51045	51045	Proteobacteria	Gammaproteobacteria	5.27328	50.5	-	-	-	-	AIHL01	-	5519	5394	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC14C	PRJNA51047	51047	Proteobacteria	Gammaproteobacteria	5.15244	50.8	-	-	-	-	AIHM01	-	5407	5285	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC14D	PRJNA51049	51049	Proteobacteria	Gammaproteobacteria	5.1787	50.7	-	-	-	-	AIHN01	-	5368	5241	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC15A	PRJNA51053	51053	Proteobacteria	Gammaproteobacteria	5.2461	50.6	-	-	-	-	AIHO01	-	5414	5284	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC15B	PRJNA51055	51055	Proteobacteria	Gammaproteobacteria	5.26487	50.6	-	-	-	-	AIHP01	-	5464	5326	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC15C	PRJNA51057	51057	Proteobacteria	Gammaproteobacteria	5.20129	50.6	-	-	-	-	AIHQ01	-	5308	5162	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC15D	PRJNA51059	51059	Proteobacteria	Gammaproteobacteria	5.21033	50.6	-	-	-	-	AIHR01	-	5317	5183	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli DEC15E	PRJNA51061	51061	Proteobacteria	Gammaproteobacteria	5.22997	50.6	-	-	-	-	AIHS01	-	5418	5281	2012/02/23	2012/02/23	Scaffolds or contigs	Institute for Genome Sciences
Escherichia coli 1.2741	PRJNA51085	51085	Proteobacteria	Gammaproteobacteria	5.68567	50.3	-	-	-	-	AEZI01	25	5914	5731	2011/03/28	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 97.0246	PRJNA51087	51087	Proteobacteria	Gammaproteobacteria	5.49747	50.5	-	-	-	-	AEZJ01	53	5924	5731	2011/03/28	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 5.0588	PRJNA51089	51089	Proteobacteria	Gammaproteobacteria	5.00398	50.6	-	-	-	-	AEZK01	21	5137	4973	2011/05/25	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 97.0259	PRJNA51091	51091	Proteobacteria	Gammaproteobacteria	5.21238	-	-	-	-	-	AEZL01	15	5269	5099	2011/03/28	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli H30	PRJNA51093	51093	Proteobacteria	Gammaproteobacteria	5.48818	50.3	-	-	-	-	AEZM01	19	-	-	2011/05/25	2011/05/27	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 95.0941	PRJNA51095	51095	Proteobacteria	Gammaproteobacteria	4.78695	50.9	-	-	-	-	AEZN01	36	-	-	2011/03/28	2011/03/30	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 1.2264	PRJNA51097	51097	Proteobacteria	Gammaproteobacteria	5.50484	50.5	-	-	-	-	AEZO01	33	5661	5490	2011/03/28	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 97.0264	PRJNA51099	51099	Proteobacteria	Gammaproteobacteria	5.23065	50.6	-	-	-	-	AEZP01	57	-	-	2011/03/28	2011/03/31	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 96.0497	PRJNA51101	51101	Proteobacteria	Gammaproteobacteria	5.01426	50.8	-	-	-	-	AEZQ01	33	5026	4862	2011/05/25	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 99.0741	PRJNA51103	51103	Proteobacteria	Gammaproteobacteria	5.45121	-	-	-	-	-	AEZR01	13	5724	5564	2011/03/28	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 3.2608	PRJNA51105	51105	Proteobacteria	Gammaproteobacteria	5.45044	50.5	-	-	-	-	AEZS01	15	5670	5506	2011/05/25	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 93.0624	PRJNA51107	51107	Proteobacteria	Gammaproteobacteria	5.27913	50.3	-	-	-	-	AEZT01	18	5459	5296	2011/05/25	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 4.0522	PRJNA51109	51109	Proteobacteria	Gammaproteobacteria	5.83435	49.2	-	-	-	-	AEZU01	38	6308	6113	2011/03/28	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli JB1-95	PRJNA51111	51111	Proteobacteria	Gammaproteobacteria	5.40949	50.4	-	-	-	-	AEZV01	26	5768	5597	2011/03/28	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 96.154	PRJNA51113	51113	Proteobacteria	Gammaproteobacteria	4.95438	50.7	-	-	-	-	AEZW01	8	4981	4822	2011/05/25	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 5.0959	PRJNA51115	51115	Proteobacteria	Gammaproteobacteria	5.41695	50.4	-	-	-	-	AEZX01	21	5710	5537	2011/03/29	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 9.1649	PRJNA51117	51117	Proteobacteria	Gammaproteobacteria	5.10205	50.6	-	-	-	-	AEZY01	6	-	-	2011/03/29	2011/03/31	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 9.0111	PRJNA51119	51119	Proteobacteria	Gammaproteobacteria	5.72926	16.8	-	-	-	-	AEZZ01	19	6149	5995	2011/05/25	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 4.0967	PRJNA51121	51121	Proteobacteria	Gammaproteobacteria	5.87082	50.1	-	-	-	-	AFAA01	43	6266	6097	2011/03/29	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 2.3916	PRJNA51123	51123	Proteobacteria	Gammaproteobacteria	5.6393	49.2	-	-	-	-	AFAB01	44	6179	5995	2011/03/29	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 3.3884	PRJNA51125	51125	Proteobacteria	Gammaproteobacteria	5.22501	50.8	-	-	-	-	AFAC01	13	5311	5142	2011/05/25	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 2.4168	PRJNA51127	51127	Proteobacteria	Gammaproteobacteria	4.74406	24.5	-	-	-	-	AFAD01	14	4804	4643	2011/03/29	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 3.2303	PRJNA51129	51129	Proteobacteria	Gammaproteobacteria	4.94623	0.9	-	-	-	-	AFAE01	15	5149	4981	2011/03/29	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 3003	PRJNA51131	51131	Proteobacteria	Gammaproteobacteria	4.91733	28	-	-	-	-	AFAF01	14	4982	4825	2011/03/29	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli TW07793	PRJNA51133	51133	Proteobacteria	Gammaproteobacteria	4.64392	35	-	-	-	-	AFAG01	26	4595	4446	2011/03/29	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli B41	PRJNA51135	51135	Proteobacteria	Gammaproteobacteria	5.01161	50.7	-	-	-	-	AFAH01	24	5075	4908	2011/03/29	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli 900105 (10e)	PRJNA51137	51137	Proteobacteria	Gammaproteobacteria	5.56016	35.4	-	-	-	-	AFAI01	28	5983	5808	2011/03/29	2012/05/02	Scaffolds or contigs	E. coli Reference Center
Escherichia coli str. K-12 substr. MG1655star	PRJNA51747	51747	Proteobacteria	Gammaproteobacteria	4.63964	50.7	-	CM000960.1	-	-	AEFE01	1	-	-	2010/09/02	2011/05/20	Complete	OU Botany & Microbiology
Escherichia coli NC101	PRJNA52343	52343	Proteobacteria	Gammaproteobacteria	5.02114	-	-	-	-	-	AEFA01	27	4805	4728	2010/09/02	2010/09/13	Scaffolds or contigs	Cornell University
Escherichia coli TA143	PRJNA52477	52477	Proteobacteria	Gammaproteobacteria	4.82972	-	-	-	-	-	ADAY01	43	4856	4757	2010/03/15	2011/05/01	Scaffolds or contigs	The Broad Institute Genome Sequencing Platform, The Broad Institute Genome Sequencing Center for Infectious Disease
Escherichia coli TA206	PRJNA52479	52479	Proteobacteria	Gammaproteobacteria	5.05529	-	-	-	-	-	ADAX01	38	5177	5086	2010/03/15	2011/05/01	Scaffolds or contigs	The Broad Institute Genome Sequencing Platform, The Broad Institute Genome Sequencing Center for Infectious Disease
Escherichia coli M718	PRJNA52481	52481	Proteobacteria	Gammaproteobacteria	5.36595	-	-	-	-	-	ADAW01	67	5514	5388	2010/03/15	2011/05/01	Scaffolds or contigs	The Broad Institute Genome Sequencing Platform, The Broad Institute Genome Sequencing Center for Infectious Disease
Escherichia coli M605	PRJNA52483	52483	Proteobacteria	Gammaproteobacteria	5.44669	-	-	-	-	-	ADAV01	83	5750	5608	2010/03/15	2011/05/01	Scaffolds or contigs	The Broad Institute Genome Sequencing Platform, The Broad Institute Genome Sequencing Center for Infectious Disease
Escherichia coli H736	PRJNA52485	52485	Proteobacteria	Gammaproteobacteria	4.65261	-	-	-	-	-	ADAU01	38	4781	4671	2010/03/15	2011/05/01	Scaffolds or contigs	The Broad Institute Genome Sequencing Platform, The Broad Institute Genome Sequencing Center for Infectious Disease
Escherichia coli TA271	PRJNA52521	52521	Proteobacteria	Gammaproteobacteria	5.02069	-	-	-	-	-	ADAZ01	83	5197	5081	2010/03/16	2011/05/01	Scaffolds or contigs	The Broad Institute Genome Sequencing Platform, The Broad Institute Genome Sequencing Center for Infectious Disease
Escherichia coli TA280	PRJNA52523	52523	Proteobacteria	Gammaproteobacteria	5.25816	-	-	-	-	-	ADBA01	76	5477	4372	2010/03/16	2011/05/01	Scaffolds or contigs	The Broad Institute Genome Sequencing Platform, The Broad Institute Genome Sequencing Center for Infectious Disease
Escherichia coli H591	PRJNA52525	52525	Proteobacteria	Gammaproteobacteria	4.91869	-	-	-	-	-	ADBB01	82	5143	5013	2010/03/16	2011/05/01	Scaffolds or contigs	The Broad Institute Genome Sequencing Platform, The Broad Institute Genome Sequencing Center for Infectious Disease
Escherichia coli H299	PRJNA52527	52527	Proteobacteria	Gammaproteobacteria	5.24891	-	-	-	-	-	ADBC01	113	5714	5186	2010/03/16	2011/05/01	Scaffolds or contigs	The Broad Institute Genome Sequencing Platform, The Broad Institute Genome Sequencing Center for Infectious Disease
Escherichia coli KO11FL	PRJNA52593	52593	Proteobacteria	Gammaproteobacteria	5.02932	50.7784	NC_016902.1	CP002516.1	NC_016904.1,NC_016903.1	CP002517.1,CP002518.1	-	3	4885	4653	2011/02/14	2012/02/27	Complete	US DOE Joint Genome Institute (JGI-PGF)
Escherichia coli W	PRJNA52603	52603	Proteobacteria	Gammaproteobacteria	4.94108	-	-	-	-	-	AEDF01	88	4772	4699	2010/09/13	2011/10/13	Scaffolds or contigs	US DOE Joint Genome Institute (JGI-PGF)
Escherichia coli B7A	PRJNA54297	54297	Proteobacteria	Gammaproteobacteria	5.30024	50.7	-	-	-	-	AAJT02	289	5529	4648	2005/09/07	2010/02/03	Scaffolds or contigs	TIGR
Escherichia coli F11	PRJNA54299	54299	Proteobacteria	Gammaproteobacteria	5.21596	50.5	-	-	-	-	AAJU02	119	5307	4704	2005/09/07	2010/02/03	Scaffolds or contigs	TIGR
Escherichia coli E22	PRJNA54301	54301	Proteobacteria	Gammaproteobacteria	5.52824	50.6	-	-	-	-	AAJV02	127	5831	5105	2005/09/07	2010/02/03	Scaffolds or contigs	TIGR
Escherichia coli E110019	PRJNA54303	54303	Proteobacteria	Gammaproteobacteria	5.37621	50.7	-	-	-	-	AAJW02	137	5681	4934	2005/09/07	2010/02/03	Scaffolds or contigs	TIGR
Escherichia coli B171	PRJNA54319	54319	Proteobacteria	Gammaproteobacteria	5.49539	50.4436	-	-	NC_002142.1	AB024946.1	AAJX02	262	5932	5010	-	-	Scaffolds or contigs	TIGR
Escherichia coli 53638	PRJNA54321	54321	Proteobacteria	Gammaproteobacteria	5.37179	50.988	-	-	NC_010719.1,NC_010720.1	CP001064.1,CP001065.1	AAKB02	2	5654	5172	-	-	Scaffolds or contigs	TIGR
Escherichia coli 101-1	PRJNA54363	54363	Proteobacteria	Gammaproteobacteria	4.97977	50.6	-	-	-	-	AAMK02	91	5155	4607	2005/12/12	2010/02/03	Scaffolds or contigs	TIGR
Escherichia coli O157:H7 str. EC4045	PRJNA54957	54957	Proteobacteria	Gammaproteobacteria	5.63485	50.5	-	-	-	-	ABHL02	8	5930	5343	2007/11/08	2010/11/25	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC4206	PRJNA54959	54959	Proteobacteria	Gammaproteobacteria	5.62993	50.5	-	-	-	-	ABHK02	7	6062	5202	2007/11/08	2010/02/03	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC4042	PRJNA54961	54961	Proteobacteria	Gammaproteobacteria	5.61773	50.5	-	-	-	-	ABHM02	4	5976	5232	2007/11/08	2010/02/03	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC4196	PRJNA54963	54963	Proteobacteria	Gammaproteobacteria	5.62061	50.5	-	-	-	-	ABHO01	186	5891	5072	2007/11/08	2010/02/03	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC4113	PRJNA54965	54965	Proteobacteria	Gammaproteobacteria	5.65585	50.6	-	-	-	-	ABHP01	231	5826	5005	2007/11/08	2010/02/03	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC4076	PRJNA54967	54967	Proteobacteria	Gammaproteobacteria	5.70564	50.6	-	-	-	-	ABHQ01	135	6071	5242	2007/11/08	2010/02/03	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC4024	PRJNA54969	54969	Proteobacteria	Gammaproteobacteria	6.19931	50.7	-	-	-	-	ABJT01	84	6540	6414	2008/02/06	2010/06/08	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC4401	PRJNA54971	54971	Proteobacteria	Gammaproteobacteria	5.73313	50.5	-	-	-	-	ABHR01	186	6001	5185	2007/11/08	2010/02/03	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC4486	PRJNA54973	54973	Proteobacteria	Gammaproteobacteria	5.93317	50.4	-	-	-	-	ABHS01	165	6189	5429	2007/11/08	2010/02/03	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC4501	PRJNA54975	54975	Proteobacteria	Gammaproteobacteria	5.67718	50.6	-	-	-	-	ABHT01	250	5947	5124	2007/11/08	2010/02/03	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC508	PRJNA54977	54977	Proteobacteria	Gammaproteobacteria	5.65667	50.6	-	-	-	-	ABHW01	272	5853	5019	2007/11/15	2010/02/03	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. EC869	PRJNA54979	54979	Proteobacteria	Gammaproteobacteria	5.73107	50.5	-	-	-	-	ABHU01	147	5926	5220	2007/11/08	2011/07/05	Scaffolds or contigs	J. Craig Venter Institute
Escherichia coli O157:H7 str. TW14588	PRJNA55087	55087	Proteobacteria	Gammaproteobacteria	5.57882	50.5	NZ_CM000662.1	CM000662.1	NZ_DS999999.1	DS999999.1	ABKY02	2	5894	5688	2008/03/03	2010/06/08	Complete	J Craig Venter Institute
Escherichia coli 83972	PRJNA55485	55485	Proteobacteria	Gammaproteobacteria	5.06601	50.6	-	-	-	-	ACGN01	105	5380	5255	2009/02/18	2010/06/09	Scaffolds or contigs	Baylor College of Medicine
Escherichia coli O157:H7 str. FRIK966	PRJNA55561	55561	Proteobacteria	Gammaproteobacteria	5.37691	50.3	-	-	-	-	ACXN01	316	5393	5312	2009/08/20	2010/02/03	Scaffolds or contigs	MBRI
Escherichia coli O157:H7 str. FRIK2000	PRJNA55943	55943	Proteobacteria	Gammaproteobacteria	5.40869	50.2	-	-	-	-	ACXO01	247	5383	5300	2009/08/20	2010/02/03	Scaffolds or contigs	Medical Biofilm Research Institute
